Composite_rule	popularity	route_ids_size	Reference	Target_molecules
[C;D2:1]-[N;D1:2]>>[C;D2:1]-[N;D2:2]=[N;D2+:4]=[N;D1-:3]$[C;D3:1]-[C;D2:2]-[N;D2:3]=[N;D2+:4]>>[C;D3:1]-[C;D2:2]-[O;D2:9]-[S;D4:6](-[C:5])(=[O:7])=[O:8].[N;D1-:3]=[N;D2+:4]$[C;D2:1]-[O;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D2:1]-[O;D1:2]	6	6	4,151,314,492,1148,3549	CCCCOC(=O)[C@@H]1CC[C@H](CN)CC1,CC(C)(C)OC(=O)NCCCC[C@@H](CN)NC(=O)OC(C)(C)C,Cc1onc2c1c(=O)n(C1CC(CN)CN(C(=O)OC(C)(C)C)C1)c1cccc(Cl)c21,Cc1cc2c(c3ccc(=O)[nH]c13)OC(CN)C2,CC(C)(C)OC(=O)N1C[C@H](NC(=O)c2ccc(Cl)s2)C[C@H]1CN,CC[C@@H](CN)NC(=O)OC(C)(C)C
[C;D2:1]-[N;D1:2]>>[C;D2:1]-[N;D2:2]=[N;D2+:4]=[N;D1-:3]$[C;D2:1]-[C;D2:2]-[N;D2:3]=[N;D2+:4]>>[C;D2:1]-[C;D2:2]-[O;D2:9]-[S;D4:6](-[C:5])(=[O:7])=[O:8].[N;D1-:3]=[N;D2+:4]$[C;D2:1]-[O;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D2:1]-[O;D1:2]	4	4	231,2247,3456,3676	CCOC(=O)C(C)(CCCc1ccccc1)Cc1ccc(OCCN)cc1,COc1ccc(COCCOCCOCCN)cc1,CC(C)(C)OC(=O)COCCOCCOCCOCCN,CC(C)(C)OC(=O)N1CCc2c(n(CCN)c3ccccc23)CC1
[C;D2:1]-[O;D2:2]-[C;D3:3](=[O;D1:4])-[C;D4:5]>>[C;D3:3](=[O;D1:4])(-[C;D4:5])-[O;D1:6].[C;D2:1]-[O;D1:2]$[O;D1:1]=[C;D3:2](-[O;D1:3])-[C;D4:4]>>[C;D2:2](-[C;D4:4])#[N;D1:5].[O;D1:1]-[C;D2:8]-[C;D2:7]-[O:6].[O;D0:3]$[N:1]#[C;D2:2]-[C;D4:3]-1(-[C;D3:4])-[C;D2:5]-[C;D2:6]-1>>[C;D2:5](-[C;D2:6]-[Br;D1:8])-[Br;D1:7].[N:1]#[C;D2:2]-[C;D2:3]-[C;D3:4]	4	4	78,931,4454,4960	CCOC(=O)C1(c2ccc(Br)cc2)CC1
[C;D3:1]-[C;D2:2]=[C;D2:3]-[C;D3:4]>>[C;D3:1]-[C;D2:2]=[O;D1:5].[C;D2:3](-[C;D3:4])-[P;D4+:10](-[C;D3:9]:1:[C:8]:[C:7]:[C:6]:[C:24]:[C:23]:1)(-[C;D3:11]:2:[C:12]:[C:13]:[C:14]:[C:15]:[C:16]:2)-[C;D3:17]:3:[C:18]:[C:19]:[C:20]:[C:21]:[C:22]:3$[C;D3:1]-[C;D2:2]=[O;D1:3]>>[C;D3:1]-[C;D2:2]-[O;D1:3]$[C;D3:1]-[C;D2:2]-[O;D1:3]>>[C;D3:1]-[C;D3:2](-[O;D1:3])=[O;D1:4]	4	4	1480,4044,5865,7497	CCOC(=O)CC1(CCC(/C=C/c2ccccc2O)Cc2ccc(C(=O)OC)cc2)CC1,CCCCCC1CCC(C=Cc2ccc3cc(OCc4ccccc4)ccc3c2)CC1,CC(C)[Si](Oc1c(F)cc(CC(/C=C/c2ccccc2O)CCc2ccc(C#N)cc2)cc1F)(C(C)C)C(C)C,CCOC(=O)CC1(CCC(/C=C/c2ccccc2O)CCc2ccc(C(=O)OC)cc2)CC1
[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D2:6]-[C;D1:5]$[O:1]-[C:2](=[O:3])-[C;D3:4](=[N:5])-[C;D3:6]:1:[C;D2:7]:[S;D2:8]:[C;D3:9](-[N;D1:10]):[N;D2:11]:1>>[O:1]-[C:2](=[O:3])-[C;D3:4](=[N:5])-[C;D3:6](-[C;D2:7]-[Cl;D1:13])=[O;D1:12].[S;D1:8]=[C;D3:9](-[N;D1:10])-[N;D1:11]$[C:1]-[C;D3:2](=[O:3])-[C;D2:4]-[Cl;D1:5]>>[Cl;D1:5]-[S;D4:7](=[O;D1:6])(=[O;D1:8])-[Cl;D1:9].[C:1]-[C;D3:2](=[O:3])-[C;D1:4]	3	3	61,124,4627	CC(C)CON=C(C(=O)O)c1csc(N)n1,Nc1nc(C(=NOC2CCCCC2)C(=O)O)cs1,Nc1nc(/C(=N/OC2CCCCC2)C(=O)O)cs1
[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D2:6]-[C;D1:5]$[O:1]-[C;D3:2](=[O:3])-[C;D3:4]:1:[C;D3:5](-[C;D1:6]):[N;D2:7]:[C;D3:8](:[C;D3:9]):[N;D3:12]:1:[C;D2:11]:[C:10]>>[O:1]-[C;D3:2](=[O:3])-[C;D3:4](-[C;D3:5](-[C;D1:6])=[O;D1:13])-[Cl;D1:14].[N;D1:7]-[C;D3:8](:[C;D3:9]):[N;D2:12]:[C;D2:11]:[C:10]$[C:1](:[N:2]):[C;D3:3]-[O;D2:4]-[C;D2:5]-[C;D3:6]>>[C;D2:5](-[C;D3:6])-[Br;D1:7].[C:1](:[N:2]):[C;D3:3]-[O;D1:4]	3	3	1822,5146,8353	Cc1nc2c(OCc3c(F)cccc3F)cccn2c1C(=O)O,Cc1nc2c(OCC3CCCCC3)cccn2c1C(=O)O
[C;D1:1]-[O;D2:2]-[C;D3:3](=[O:4])-[C:5]>>[C;D1:1]-[O;D1:6].[O;D1:2]-[C;D3:3](=[O:4])-[C:5]$[N;D1:1]-[C;D3:2](:[C;D3:3]):[C;D3:4]>>[C;D3:2](:[C;D3:3])(:[C;D3:4])-[F;D1:5].[N;D0:1]$[C;D3:1]:[C;D3:2](-[N;D3+:3](=[O;D1:4])-[O;D1-:5]):[C;D2:6]>>[N;D3+:3](=[O;D1:4])(-[O;D1-:5])-[O;D1:7].[C;D3:1]:[C;D2:2]:[C;D2:6]	3	3	60,2340,7467	COC(=O)c1cc([N+](=O)[O-])c(N)c(F)c1F
[C;D2:1]-[N;D1:2]>>[C;D2:1]-[N;D2:2]-[C;D2:7]-[C;D3:6]:1:[C:5]:[C:4]:[C:3]:[C:9]:[C:8]:1$[C;D3:1]-[C;D2:2]-[N;D2:3]-[C;D2:4]>>[C;D3:1]-[C;D2:2]=[O;D1:5].[N;D1:3]-[C;D2:4]$[C;D3:1]-[C;D2:2]=[O;D1:3]>>[C;D3:1]-[C;D2:2]-[O;D1:3]	3	3	21,882,8296	CC1C[C@H]2CN(C(=O)OC(C)(C)C)[C@H](CN)[C@H]2C1,CC(C)(C)OC(=O)N1[C@H](CN)C[C@@H]2CCC[C@@H]21
[C;D2:1]-[N;D1:2]>>[C;D2:1]-[N;D2:2]=[N;D2+:4]=[N;D1-:3]$[C;D3:1]-[C;D2:2]-[N;D2:3]=[N;D2+:4]>>[C;D3:1]-[C;D2:2]-[O;D2:13]-[S;D4:10](-[C:9]:1:[C:8]:[C:7]:[C:6](-[C:5]):[C:15]:[C:14]:1)(=[O:11])=[O:12].[N;D1-:3]=[N;D2+:4]$[C:1]-[C:2]:1:[C:3]:[C:4]:[C;D3:5](-[S;D4:6](=[O;D1:7])(=[O;D1:8])-[O;D2:9]-[C;D2:10]):[C:11]:[C:12]:1>>[C:1]-[C:2]:1:[C:3]:[C:4]:[C;D3:5](-[S;D4:6](=[O;D1:7])(=[O;D1:8])-[Cl;D1:13]):[C:11]:[C:12]:1.[O;D1:9]-[C;D2:10]	3	3	44,489,3462	CC(C)(C)OC(=O)C[C@@H](CN)Nc1ccc(C#N)c(Cl)c1,CC(C)(C)OC(=O)N[C@H](CN)C[C@H]1CCCOC1,Cc1ccccc1-c1c(F)ccc2c1OC(CN)C2
[C;D2:1]-[N;D3:2](-[C;D3:3](-[C;D2:4])-[C;D2:5])-[C;D2:6]>>[C;D3:3](-[C;D2:4])(-[C;D2:5])=[O;D1:7].[C;D2:1]-[N;D2:2]-[C;D2:6]$[C;D2:1]-[N;D2:2]-[C;D2:3]>>[C;D2:1]-[N;D3:2](-[C;D2:3])-[C;D3:9](-[O;D2:8]-[C:5](-[C:4])(-[C:6])-[C:7])=[O;D1:10]$[C;D3:1]-[O;D2:2]-[C;D2:3]-[C;D3:4]>>[C;D2:3](-[C;D3:4])-[Br;D1:5].[C;D3:1]-[O;D1:2]	3	3	130,324,2517	c1ccc(COc2ccc3c(c2)CCN(C2CCC2)CC3)cc1
