Composite_rule	popularity	route_ids_size	Reference	Target_molecules
[C;D3:1]-[C;D3:2](=[O;D1:3])-[N;D2:4]-[C;D2:5]>>[C;D3:1]-[C;D3:2](=[O;D1:3])-[O;D1:6].[N;D1:4]-[C;D2:5]$[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D1:5]	22	22	6,1168,1257,1571,1706,2142,2398,2839,3268,3329,3775,3800,5927,6823,6871,6947,7181,8059,9323,9420,9464,9571	C=CCc1c(C(=O)NCc2c(C(C)CC=C)cc(C)nc2OC)cccc1N(CC)C1CCOCC1,Nc1c(Oc2ccc(F)cc2)cccc1C(=O)NCC1(O)CCN(C(=O)c2ccc(F)cc2)CC1,C=CCC(CC=C)(COc1cc(C)c(-c2ccc(C(F)(F)F)cc2)c(C)c1)c1ccc(C(=O)NCCC(=O)OC)cc1,CC(C)(C)ON=c1cc(-c2cc3cccn3cn2)oc2ccc(C(=O)NCCN3CCOCC3)cc12,COc1cc2cc(C(=O)Nc3cc(C(=O)NCc4cccc(Cl)c4)ccc3C)c(=O)[nH]c2cc1OC,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(C(=O)NC[C@H](C)CC(F)(F)F)cc12,COc1ccc(C(=O)c2ccc(C(=O)NCCOc3cccc(C#N)c3)cc2)cc1OC,COc1ccc(C(=O)NCC2CCN(C(=N)N)CC2)cc1OCCc1ccc(Cl)cc1Cl,COc1cccnc1-c1cc(C(=O)NCCc2ccc(F)cc2)cc(-n2cnnn2)c1,C[C@@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1c[nH]c2ccccc12)N1Cc2ccccc2C1=O,COc1cc(F)c(-c2ccccc2)cc1C(=O)NCc1cccc([N+](=O)[O-])c1,CC(C)(C)OC(=O)CCCCC[C@H](NC(=O)c1cccs1)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,COc1ccc(C(C)=O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1,CC(C)(C)OC(=O)N1CCN(C(=O)c2ccc(C(=O)NCCOc3cccc(C#N)c3)cc2)CC1,CC[C@@H](c1ccccc1)N(Cc1ccc(C(=O)NCCCOC)cc1)S(=O)(=O)c1ccc(Cl)cc1,Cc1ccc(Cn2c(=O)n(Cc3ccc(C(=O)NCC4COC4)cc3)c(=O)c3ccccc32)cc1,Cc1ccc(-c2cc(Br)cc(C(=O)NCc3ccc(C)nc3)c2)nc1,CCCC(=O)c1ccc(C(=O)NCCC(=O)OC)cc1,CC(C)(C)OC(=O)N1CCC(Nc2cc(C(=O)NC[C@H](O)CN3CCc4ccccc4C3)ccn2)CC1,CCOC(C)c1ccc(C(=O)NCc2c(C)cc(C)nc2O)cc1,COc1ccc(C(=O)Nc2ccccc2C(=O)NCCc2ccccc2)cc1Cl,CN(CC(O)COc1ccccc1C(=O)NCc1ccc(C2(C(F)(F)F)N=N2)cc1)C1C2CC3CC(C2)CC1C3
[C;D3:1]-[C;D3:2](=[O;D1:3])-[N;D2:4]-[C;D3:5]>>[C;D3:1]-[C;D3:2](=[O;D1:3])-[O;D1:6].[N;D1:4]-[C;D3:5]$[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D1:5]	20	20	37,376,494,666,707,873,1127,1200,1386,1837,2539,2639,3546,3879,3916,4206,4409,4480,5878,6138	CC(C)(C)OC(=O)N1CC(N=[N+]=[N-])CC(C(=O)Nc2ccc(Cl)cc2)C1,CC(C(=O)NC1CC1)c1ccc(C2CCN(C(=O)OC(C)(C)C)CC2)cc1,CC(C)(C)OC(=O)Cc1ccc(Oc2ccc(C(=O)Nc3ccc(Cl)c(Cl)c3)cc2)c(CNS(C)(=O)=O)c1,CC(=O)NCC(C(=O)Nc1ccccc1)c1ccc(C(=O)OC(C)(C)C)cc1,CC(C)(C#N)c1cccc(C(=O)Nc2ccc(Br)c([N+](=O)[O-])c2)c1,COc1cc(C(=O)N[C@H](C)c2cnc(C)nc2)cc(-c2ccc(C)cn2)c1,CO[C@@H]1C[C@H](C(=O)Nc2ccc(N3CCCCC3=O)cc2F)N(C(=O)OC(C)(C)C)C1,CC(C)Oc1ccc(I)cc1C(=O)N[C@@H](CO)Cc1c[nH]c2ccccc12,Cc1nc(N2CC(C(=O)Nc3ccccc3N)C2)cc(-n2nc(C)nc2C)n1,CC(C(=O)Nc1ccnc2c(F)cccc12)c1ccc2oc(-c3c(F)cccc3Cl)nc2c1,CSc1ncc2cc(-c3cc(C(=O)NC4CC4)ccc3C)c(=O)n(C)c2n1,CC1CCC(C(=O)Nc2cc(Cl)ccc2O)CN1C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1C(=O)Nc1ccccc1N,COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2ccc(C(=O)Nc3ccc(C#N)cc3)cc21,CN1CCCc2c(Br)cc(C(=O)N[C@H]3CCCC[C@@H]3O)c(N)c21,CO[C@@H]1C[C@H](C(=O)Nc2ccc(-n3ccc(C)n3)cc2F)N(C(=O)OC(C)(C)C)C1,CC(C)[Si](OCC(C(=O)Nc1ccc2cnccc2c1)c1ccccc1)(C(C)C)C(C)C,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)Nc4ccccc4N)cc3)ccc21,CN(C(=O)OC(C)(C)C)[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)NC3CC3)cc21,CC(C)(C)OC(=O)N1CCC(Oc2cc(F)ccc2C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)CC1
[C;D3:1]-[N;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D3:1]-[N;D1:2]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	20	20	120,146,404,663,689,2463,2752,2878,3289,5568,6056,6486,6855,6929,7323,7566,7654,7665,8489,9273	CCOC(=O)Cc1ccc(OC)c(-c2ccc(NS(C)(=O)=O)cc2CN(CC)C(=O)OCc2ccccc2)c1,CCOC(=O)c1c(-c2ccc(F)cc2)oc2cc(NS(C)(=O)=O)c(Br)cc12,CC(=O)N1CCN(c2ccc(NS(C)(=O)=O)c(C)c2)CC1,CC(C)(C)OC(=O)N1CCN(c2ccccc2NS(C)(=O)=O)CC1,CNC(=O)c1c2cc(C3CC3)c(NS(C)(=O)=O)cc2nn1-c1ccc(Cl)cc1,Cc1ccc(S(=O)(=O)Oc2cc(=O)n(C)c3c2c(=O)n(C2CC2)c(=O)n3-c2cccc(NS(C)(=O)=O)c2)cc1,CNC(=O)c1c2cc(C3CC3)c(NS(C)(=O)=O)cc2nn1-c1ccc(Br)cc1,CC(=O)c1ccc(NS(C)(=O)=O)c(Sc2ccc(F)cc2F)c1,CC(C)(C)c1ccc(Cn2c(=O)n(Cc3ccc(NS(C)(=O)=O)cc3)c3ccccc32)cc1,CCOC(=O)c1cnc2c3cc(NS(C)(=O)=O)ccc3c(C)cn2c1=O,Cc1cc(CN(CCC(C)C)C(=O)OC(C)(C)C)ccc1-c1ccc(NS(C)(=O)=O)cc1,CCOC(=O)Cn1c(C)cc2cc(NS(C)(=O)=O)ccc21,Cc1c(CC#N)ccc(NS(C)(=O)=O)c1F,CC(C)(C)OC(=O)NCc1cccc(NS(C)(=O)=O)c1,CN1CCC2(CC1)CC(=O)c1cc(NS(C)(=O)=O)ccc1O2,CCOC(=O)Oc1ccc(OC)c(NS(C)(=O)=O)c1,CN(C)CCOc1ccc(Br)cc1NS(C)(=O)=O,CC(C)(C)C1C(O)=C(C2=Nc3ccc(NS(C)(=O)=O)cc3S(C)(=O)=N2)C(=O)N1Cc1ccc(F)c(Cl)c1,CC(C)(C)c1ccc(CN2CCCN(Cc3ccc(NS(C)(=O)=O)cc3)C2=O)cc1
[C;D3:1]-[N;D2:2]-[S;D4:3](=[O;D1:4])(=[O;D1:5])-[C;D3:6]>>[S;D4:3](=[O;D1:4])(=[O;D1:5])(-[C;D3:6])-[Cl;D1:7].[C;D3:1]-[N;D1:2]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	19	19	66,271,737,1340,1468,2976,2990,3301,3484,3859,4085,4309,4529,4777,4817,5274,6716,8556,8720	COC(=O)c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F,CCC(=O)N1C[C@@H]2C[C@@H](c3ccc(NS(=O)(=O)c4ccc(C(C)C)cc4)cc3)[C@@H]2C1,COC(=O)c1c(-c2ccc(F)cc2)oc2cc(NS(=O)(=O)c3ccccc3)c(Br)cc12,CC(C)(C)OC(=O)NCCOc1ccc(NS(=O)(=O)c2ccccc2)cc1,COc1ccc(Oc2c(Cl)cc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1NS(=O)(=O)c1ccc(F)cc1,CN1CCN(c2ccc(Br)c(NS(=O)(=O)c3ccc4ccccc4c3)c2)CC1,COc1ccc(N2C[C@H](C)N[C@H](C)C2)cc1NS(=O)(=O)c1ccc(Br)cc1Cl,COC(=O)c1c(NS(=O)(=O)c2ccc(F)cc2Br)ccc2c1cc1n2CCC1,CCOC(=O)c1cnn2c(N)c(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)cnc12,CCC(=O)N1C[C@@H]2C[C@@H](c3ccc(NS(=O)(=O)c4ccc(OC(F)(F)F)cc4)cc3)[C@@H]2C1,COC(=O)c1ccc2ncc(Oc3c(Cl)cc(NS(=O)(=O)c4ccc(Cl)cc4Cl)cc3Cl)cc2c1,CS(=O)(=O)Nc1n[nH]c2ccc(NS(=O)(=O)c3cccc(F)c3)cc12,CCOC(=O)CC(NC(=O)C(CC)c1ccccc1)c1cccc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)c1,COc1cc2c(cc1NS(=O)(=O)c1ccc(I)cc1)CCN(C(=O)OC(C)(C)C)CC2,CCC(=O)N1CCC(c2cc(NS(=O)(=O)c3cccc(OC(F)(F)F)c3)ccc2OC)C1,Cc1cc2[nH]nc(-c3ccccc3)c2cc1NS(=O)(=O)c1ccccc1S(C)(=O)=O,CCCOc1ccc(NS(=O)(=O)c2cccc(C#N)c2)cc1-c1nn2c(C3CCCC3)nc(C)c2c(=O)[nH]1,CC(=O)c1c[nH]c2ccc(NS(=O)(=O)c3ccccc3)cc12,N#Cc1ccc(CCOc2cccc(NS(=O)(=O)c3ccccc3Cl)c2)cc1
[C;D3:1]-[C;D2:2]=[O;D1:3]>>[C;D3:1]-[C;D2:2]-[O;D1:3]$[C;D3:1]-[C;D2:2]-[O;D1:3]>>[C;D3:1]-[C;D3:2](-[O;D1:3])=[O;D1:4]	17	17	264,323,379,525,1264,1305,1480,2403,3026,3708,4044,5175,5865,7497,7645,7851,8029	Nc1cc(Cl)ccc1C=O,CC(C)(C)OC(=O)CCCCc1cc2cc(C=O)ccc2c(=O)n1-c1ccc(F)cc1,COc1ccc(C=O)c(N)c1,COc1cc(C=O)cc(OC)n1,C#CCSc1ccccc1C=O,COC(=O)c1ccc(COc2ccc(C[C@@H](C=O)NC(=O)OC(C)(C)C)cc2)cc1,CCOC(=O)CC1(CCC(C=O)Cc2ccc(C(=O)OC)cc2)CC1,COc1cc2cc(C=O)ccc2c(OC)c1OC,Cc1cc(C=O)cc(C)c1[N+](=O)[O-],COc1cccc(N)c1C=O,CCCCCC1CCC(C=O)CC1,Cc1c(C=O)cccc1OCc1ccccc1,CC(C)[Si](Oc1c(F)cc(CC(C=O)CCc2ccc(C#N)cc2)cc1F)(C(C)C)C(C)C,CCOC(=O)CC1(CCC(C=O)CCc2ccc(C(=O)OC)cc2)CC1,CNS(=O)(=O)c1ccc(C=O)cc1,Cn1cnc(-c2cc(C=O)ccn2)c1-c1ccc(F)cc1OCC1CC1,C[C@]12CC[C@@](C)(O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C=O)CC[C@@H]12
[C;D3:1]-[N;D2:2]-[C;D3:3](=[O;D1:4])-[C;D3:5]>>[C;D3:3](=[O;D1:4])(-[C;D3:5])-[Cl;D1:6].[C;D3:1]-[N;D1:2]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	17	17	158,523,535,852,932,2471,3144,3258,3437,3508,3685,4803,5077,5750,5806,5815,8688	Cc1ccc(-n2ccc(NC(=O)c3cc(Cl)ccc3NC(=O)c3cccc(CSCCC(=O)OC(C)(C)C)c3)n2)cc1C,COC(=O)c1ccc2c(c1)c(Cc1ccc(NC(=O)c3ccccc3)cc1)cn2C,CC(C)(C)OC(=O)N1CCN(c2cc(OCc3ccccc3)ccc2NC(=O)c2cccc3ccccc23)CC1,COC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)NC(=S)c1c(C)cccc1Cl,CN(C(=O)Oc1ccc(NC(=O)c2ccc(CCl)cc2)cc1)c1ccccc1,COC(=O)Cc1c(N(C)C)nc(Cc2ccc(NC(=O)c3ccc(C(F)(F)F)cc3)cc2)nc1N(C)C,COC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)NC(=S)C1(CCCCS(C)(=O)=O)CCCC1,COc1c(Cl)cc(F)c(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)c1NC(=O)c1ccc(F)cc1F,Cc1ccc(NC(=O)c2ccc(CCl)cc2)cc1Nc1cc(C(F)(F)F)nc(-c2ccncc2)n1,COC(=O)c1cc(NC(=O)c2ccccc2C(F)(F)F)cc2[nH]cnc12,CC(C)OC(=O)[C@@H]1CC[C@@H](c2ccc(NC(=O)c3ccc(Cl)c(Cl)c3)cc2)CC1,CCOC(=O)Cn1c(C)c(Cc2ccc(NC(=O)c3ccc(C(F)(F)F)cc3)cc2)c2ccccc21,COC(=O)c1ccc2c(c1)CC(C)(C)C(c1ccc(NC(=O)c3ccc(F)cc3)cc1)N2,Cc1ccc(NC(=O)c2ccc(C#N)cc2)cc1NC(=O)c1cccc(CCl)c1,COc1ccc(O)c(NC(=O)c2ccncc2)c1,COC(=O)CCC1=CCN(Cc2ccc(NC(=O)c3ccccc3)cc2)C1=O,Cc1ccc2c(N3CCN(CCc4cccc(NC(=O)C5CCCCC5)c4)CC3)cccc2n1
[C;D3:1]-[N;D2:2]-[C;D3:3](=[O;D1:4])-[C;D3:5]>>[C;D3:3](=[O;D1:4])(-[C;D3:5])-[O;D1:6].[C;D3:1]-[N;D1:2]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	16	16	508,787,1015,1219,1956,2325,2555,2737,4510,6246,6518,6622,6971,7168,7766,9310	COc1ccc(NC(=O)c2cc(CNC(=O)OC(C)(C)C)ccc2Cl)cc1C(=O)Nc1ccc(Br)cc1,CC(C)(C)[Si](C)(C)OCCNc1ccc(NC(=O)c2ccncc2NC(=O)c2ccc(Cl)s2)cc1,COC(=O)[C@@H](CO[Si](C)(C)C(C)(C)C)n1ccc2c(NC(=O)C(C)c3ccc(Cl)c(Cl)c3)cccc2c1=O,COc1cc(C#N)ccc1NC(=O)C1NC(CC(C)(C)C)C2(C(=O)Nc3cc(Cl)ccc32)C1c1cc(F)cc(Cl)c1,COC(=O)Cc1c(Cl)nc(Cc2ccc(NC(=O)c3ccc4ccccc4c3)cc2)nc1Cl,CC(C)(C)[Si](C)(C)Oc1ccc(N2C(=O)c3ccccc3C2=O)c(NC(=O)C2CCN(c3ccncc3)CC2)c1,COC(=O)Cc1c(C)nc(Cc2ccc(NC(=O)c3ccc4ccccc4c3)cc2)nc1N1CCCC1,CC(C)(C)OC(=O)N1CCN(Cc2cnc3sc(-c4ccccc4NC(=O)c4cccc(-c5nnn[nH]5)c4)nc3c2)CC1,Cc1ccc(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2cc(Cl)ccn2)cc1,CCN(CC)S(=O)(=O)c1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1,CC(C)(C)OC(=O)n1ncc2ccc(NC(=O)c3ccccc3O)cc21,COC(=O)[C@@H](CO[Si](C)(C)C(C)(C)C)n1ccc2c(NC(=O)C(C)c3ccc(Cl)cc3)cccc2c1=O,Cc1ccc2c(N3CCN(CC(C)c4cccc(NC(=O)c5ccccc5F)c4)CC3)cccc2n1,COC(=O)[C@H](Cc1ccc(NC(=O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C)cc1)NC(=O)c1c(C)cccc1Cl,CC1CCN(c2ccc3[nH]c(-c4nn(C5CCCCO5)c5ccc(NC(=O)C6CC6(F)F)cc45)nc3c2)CC1,CCS(=O)(=O)N1CCN(c2ccc(NC(=O)C3CCc4cc(OC)cc(N5CCN(C)CC5)c4O3)cc2)CC1
[C;D3:1]-[C;D2:2]=[O;D1:3]>>[C;D3:1]-[C;D2:2]-[O;D1:3]$[C;D3:1]-[C;D2:2]-[O;D1:3]>>[C;D3:1]-[C;D3:2](=[O;D1:3])-[O;D2:5]-[C;D1:4]	13	13	156,1404,1655,1838,1886,4150,4437,5403,6362,7097,7195,7460,8625	Cc1cccc(Nc2ccccc2C=O)c1C,CCCN(CCC)CCCCN1CCc2cc(C=O)ccc2C1,COc1cc2sc(-c3ccccc3)nc2cc1C=O,Cc1cccc(C=O)c1OCc1ccccc1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1C=O,C=CCC(C=O)C1c2ccccc2COc2ccccc21,COCCc1cc(C=O)c2ccccc2c1,C=CC[C@H](C)Oc1cc(C)ccc1C=O,CC(C)[C@@H](C=O)NC(=O)OC(C)(C)C,CCS(=O)(=O)N(Cc1cccnc1)c1cccc(C=O)c1,Cc1nc(C(F)(F)F)ccc1C(=O)Nc1ccc(Cl)c(C=O)c1,COc1c(C)cc(C=O)cc1C,Cc1nc2ccc(C=O)cc2o1
[C;D3:1]-[O;D2:2]-[C;D2:3]-[C;D2:4]>>[C;D2:3](-[C;D2:4])-[Br;D1:5].[C;D3:1]-[O;D1:2]$[C;D3:1]-[O;D1:2]>>[C;D3:1]-[O;D2:2]-[C;D1:3]	13	13	95,575,643,714,718,819,1881,2139,2160,3598,4482,5367,6022	CC(C)n1nc(-c2c(-c3ccccc3)nn3ccc(OCCN4C(=O)c5ccccc5C4=O)cc23)ccc1=O,Cc1cc(C#N)ccc1-c1ccc(OCCCCl)cc1,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCCl)ccc21,CC1(C)Cc2cc(OCCO)c3c(c2C(c2ccccc2)=N1)CC(C)(C)O3,CCOC(=O)c1cnn(-c2cccc(-c3cc(F)ccc3CCc3ccc(OCCCBr)cc3C)n2)c1C(F)(F)F,O=C(c1ccc(OCCCCBr)cc1)c1c(-c2ccccc2)oc2ccccc12,CC1(C)Cc2c(OCCCBr)cccc2C1N1CCCCC1,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN3C(=O)c4ccccc4C3=O)ccc21,CCOC(=O)Nc1csc2cc(OCCCC(F)(F)F)ccc12,CCN(CC)C(=O)c1ccc(Cc2ccccc2OCCCBr)cc1,Cc1ccc(C(=O)NC2CC2)cc1-n1ccc2ccc(OCCCl)cc2c1=O,CCCS(=O)(=O)c1cc(Br)cc(OCCCCCCc2cccc(OCCCC(=O)OCC)c2CCC(=O)OCC)c1,CCCOc1nc(Cc2ccc(Cl)cc2)nc2oc(-c3cc(C)c(OCCCBr)c(C)c3)nc12
[C;D3:1]-[C;D2:2]-[Br;D1:3]>>[Br;D1:3]-[P;D3:5](-[Br;D1:4])-[Br;D1:6].[C;D3:1]-[C;D2:2]-[O;D1:7]$[C;D3:1]-[C;D2:2]-[O;D1:3]>>[C;D3:1]-[C;D2:2]=[O;D1:3]	12	12	414,453,679,1137,1270,1894,3562,3753,4273,5232,7225,7423	CS(=O)(=O)c1ccc(CBr)c(Cl)c1,CCOC(=O)Cc1ccc(OC)c(Oc2ccc(Cl)cc2CBr)c1,C=CCOc1ccc(CBr)cc1Cl,COC(=O)C(=Cc1cc(OC)cc(OC)c1)c1ccc(Oc2ccc(CBr)cc2)cc1,CCN1CCN(c2ccc(CBr)c(Cl)c2)CC1,Cc1cc2ccccc2cc1CBr,O=S(=O)(c1ccc(F)cc1)c1ccccc1CBr,CCS(=O)(=O)c1ccc(Oc2c(C)cccc2CBr)c(Br)c1,CCCCCCCCCc1ccccc1CBr,CC(C(=O)O)c1cccc(Oc2ccc(C(F)(F)F)cc2CBr)c1,CCCOc1cc(CBr)ccc1OC,N#Cc1cc(F)c(CBr)cc1F
