Composite_rule	popularity	route_ids_size	Reference	Target_molecules
[C;D3:1]-[C;D2:2]=[O;D1:3]>>[C;D3:1]-[C;D2:2]-[O;D1:3]$[C;D3:1]-[C;D2:2]-[O;D1:3]>>[C;D3:1]-[C;D3:2](-[O;D1:3])=[O;D1:4]	29	29	48,178,395,402,475,583,1056,1105,1112,1419,1487,1990,3159,3638,4180,4204,4728,5192,5305,5480,5861,6027,6322,6974,8141,8749,8835,9391,9428	CCOC(=O)[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H]1C=O,COc1ccc(C=O)c(N)c1,CCc1cc(C=O)cc(C)n1,CC(C)Cn1c(CNC(=O)OC(C)(C)C)c(-c2ccccc2)c2cc(C=O)ccc2c1=O,CCOC(=O)CCCCC(C=O)CCc1ccc(C#N)cc1,CC(C)(C)OC(=O)CCCCc1cc2cc(C=O)ccc2c(=O)n1-c1ccc(F)cc1,Nc1cc(Cl)c(Br)cc1C=O,Nc1c(Cl)cc(C=O)cc1C(F)(F)F,COc1cc(C=O)cc(OC)n1,Cc1ccc(C=O)c(F)c1I,CN1C(=O)C(C)(C)c2ccc(C=O)cc21,CCOC(=O)CC1(CCC(C=O)Cc2ccc(C(=O)OC)cc2)CC1,COC(=O)c1ccc(COc2ccc(C[C@@H](C=O)NC(=O)OC(C)(C)C)cc2)cc1,C#CCSc1ccccc1C=O,Nc1ccc(C=O)c(Cl)c1,COCCCOc1cc(C(=O)N(C[C@@H]2CN(C(=O)OC(C)(C)C)C[C@H]2C=O)C(C)C)ccc1OC,COc1cc(C=O)c(F)cn1,CC(C)(C)OC(=O)N[C@H]1CCC[C@@H]1C=O,CCCCn1nnc2cc(C=O)ccc21,CCOc1cc(C=O)c(Br)cc1C,Cc1cc(C=O)cc(C)c1[N+](=O)[O-],COC(=O)c1ccc(CC(C=O)CCCCC#N)cc1,CCCCCC1CCC(C=O)CC1,COc1cc(C=O)cc([N+](=O)[O-])c1,CNS(=O)(=O)c1ccc(C=O)cc1,CCC(CC)[C@@H](C=O)NS(=O)(=O)c1ccc(Cl)s1,Cc1c(C=O)cccc1OCc1ccccc1
[C;D3:1]-[N;D2:2]-[C;D3:3](=[O;D1:4])-[C;D3:5]>>[C;D3:3](=[O;D1:4])(-[C;D3:5])-[Cl;D1:6].[C;D3:1]-[N;D1:2]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	28	28	222,232,334,483,742,1025,1849,2196,2550,2847,3198,3215,3486,3607,4107,4161,4342,4416,5053,5991,7401,8061,8124,8337,8459,8501,8917,9296	Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1B1OC(C)(C)C(C)(C)O1,Cc1ccc(-n2ccc(NC(=O)c3cc(Cl)ccc3NC(=O)c3cccc(CSCCC(=O)OC(C)(C)C)c3)n2)cc1C,Cc1ccc(Nc2nccc(-c3cccnc3)n2)cc1NC(=O)c1ccc(CCl)cc1,CCOC(=O)Cc1nn(Cc2ccc(NC(=O)c3ccc(Cl)cc3)cc2)c2ccccc12,CC(C)(C)OC(=O)N(CCc1ccc(Oc2ccc(NC(=O)c3ccccc3)cc2)cc1)Cc1ccccc1,COc1cc(NC(=O)C2CC2)ccc1-c1nnc(-c2c(-c3ccccc3)noc2C)o1,CN(C(=O)Oc1ccc(NC(=O)c2ccc(CCl)cc2)cc1)c1ccccc1,CCOC(=O)CC1CCN(c2ccc(Cl)cc2NC(=O)c2cccc(Cl)c2)CC1,CC(C)(C)[Si](C)(C)O[C@@H]1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(I)ccc2F)C1,COC(=O)c1ccc(Br)cc1NC(=O)c1ccccc1,COC(=O)c1cc(NC(=O)C(C)C)cc(-c2ccc(C)cc2)c1,Cc1nc(-c2cccc(F)c2)ncc1C(=O)Nn1ccc2cc(NC(=O)c3ccccc3)ccc21,CCCN(CC1CCN(S(C)(=O)=O)CC1)C1CCc2ccc(NC(=O)C(C)C)cc2C1,Cn1nc(-c2ccc(Cl)c(NC(=O)C3CC3)c2)c(Cl)c1OC(F)F,COC(=O)Cc1nn(Cc2ccc(NC(=O)c3ccc4ccccc4c3)cc2)c2ncccc12,Cc1cc2c(cc1NC(=O)c1c(F)cccc1Cl)N(S(=O)(=O)c1ccc(F)cc1)CCC2,Cc1ccc(-c2cn3nc(-c4cccnc4C(F)(F)F)ccc3n2)cc1NC(=O)c1cccc(Br)c1,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(NC(=O)c4c(F)ccc(C)c4F)cc3)cc2C1=O,CN(C(=O)OC(C)(C)C)[C@H]1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(I)ccc2F)C1,Cc1c(Cl)cccc1NC(=O)c1cc(NC(=O)c2c(F)cccc2Cl)cc2[nH]c(N(C)C)nc12,Cc1ncc2c(n1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3C)cc1)CC2,Cc1ccc(NC(=O)c2ccc(C#N)cc2)cc1NC(=O)c1cccc(CCl)c1,Cc1ccc(NC(=O)c2ccc(CCl)cc2)cc1Nc1cc(C(F)(F)F)nc(-c2ccncc2)n1,COC(=O)c1ccc2c(c1)CC(C)(C)C(c1ccc(NC(=O)C(C)C)cc1)N2,COC(=O)c1ccc(-c2ccccc2)cc1NC(=O)c1ccccc1,CCOC(=O)Cn1c(C)c(Cc2ccc(NC(=O)c3ccc(Cl)cc3)cc2)c2ccccc21,COc1ccc(O)c(NC(=O)c2ccncc2)c1
[C;D3:1]-[C;D3:2](=[O;D1:3])-[N;D2:4]-[C;D3:5]>>[C;D3:1]-[C;D3:2](=[O;D1:3])-[O;D1:6].[N;D1:4]-[C;D3:5]$[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D1:5]	27	27	180,213,440,785,833,1114,1461,1552,1589,1718,2179,2481,3293,3367,3661,4139,4575,4813,5041,5636,6114,6123,6164,6183,8579,9018,9540	COc1cc2c(cc1F)n(C)c(=O)n2C[C@@H]1CC[C@@H](C(=O)Nc2ccncc2)CC1,Cc1c(F)cc(-c2cccc(F)c2)cc1C(=O)Nc1c(F)ccc(O)c1F,COc1nc(C)c2cc(C(=O)Nc3cc(C(=O)NC(CNC(=O)OC(C)(C)C)c4ccccc4)ccc3Cl)c(=O)[nH]c2n1,COc1cc(C(=O)Nc2c(C)ccc(O)c2C)cc(-c2cccc(F)c2)c1,CC(C)(C)OC(=O)N1CCc2ccc(C(=O)Nc3ccc(Cl)cc3N3CCN(CCC(F)(F)F)CC3)cc2C1,CC(C)(C)OC(=O)Cc1ccc(Oc2ccc(C(=O)Nc3ccc(Cl)c(Cl)c3)cc2)c(CNS(C)(=O)=O)c1,Nc1nc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)nc(NC2Cc3ccccc3C2)n1,COc1ccccc1C#Cc1ccc(OC(C)C)c(C(=O)NC(CO)Cc2c[nH]c3cccnc23)c1,CCOC(=O)c1ccc2c(c1)C(C)(C)CC(c1cccc(C(=O)Nc3ccccc3)c1)N2,CO[C@@H]1C[C@H](C(=O)Nc2ccc(N3CCCCC3=O)cc2F)N(C(=O)OC(C)(C)C)C1,COc1cc(C(=O)Nc2c(F)ccc(O)c2F)cc(-c2cccc(F)c2)c1,CC(C)(C#N)c1cccc(C(=O)Nc2ccc(Br)c([N+](=O)[O-])c2)c1,CC1CCC(C(=O)Nc2cc(Cl)ccc2O)CN1C(=O)OC(C)(C)C,CC1CCCC(N(Cc2ccc(C(=O)N[C@H](C)CO)cc2)S(=O)(=O)c2ccc(Cl)cc2)C1,CC(C)Oc1ccc(I)cc1C(=O)N[C@@H](CO)Cc1c[nH]c2ccccc12,CCCOc1ccc(C#Cc2ccccc2)cc1C(=O)N[C@@H](CO)Cc1c[nH]c2ccccc12,C=C1CC(NC(=O)OC(C)(C)C)C(C(=O)Nc2ccc(Cl)cc2)C1,COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2ccc(C(=O)Nc3ccc(C#N)cc3)cc21,Cc1nc2ccccc2n1-c1ccc(C(=O)N[C@@H]2CCN(C(=O)OC(C)(C)C)C2)cc1,CC(C(=O)Nc1ccnc2c(F)cccc12)c1ccc2oc(-c3c(F)cccc3Cl)nc2c1,CC1CCCCC1N(Cc1ccc(C(=O)N[C@H](C)CO)cc1)S(=O)(=O)c1ccc(Cl)cc1,CC1C=Cc2cc(I)cc(C(=O)N[C@@H](CO)Cc3c[nH]c4ccccc34)c2O1,C=CCCCC(C(=O)NC(C)c1nnc(Cc2ccc(OC)c(OC)c2)[nH]c1=O)C(C)O,Cc1cc(C(=O)NC(C)CO)ccc1C(=O)OCc1ccccc1,Cc1ccc(-c2cc(C(=O)N[C@H](C)c3nc(C)no3)cc(-c3ncco3)c2)nc1,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(C3C[C@@H](C(=O)Nc4c(O)cccc4F)N(C)C3)cc12,CCN1CCN(Cc2ccc(C(=O)N[C@H]3[C@@H]4c5cc(Oc6ccnc7c6CCC(=O)N7)ccc5O[C@@H]43)cc2C)CC1
[C;D2:1]-[N;D3:2](-[C;D3:3](-[C;D2:4])-[C;D2:5])-[C;D2:6]>>[C;D3:3](-[C;D2:4])(-[C;D2:5])=[O;D1:7].[C;D2:1]-[N;D2:2]-[C;D2:6]$[C;D2:1]-[N;D2:2]-[C;D2:3]>>[C;D2:1]-[N;D3:2](-[C;D2:3])-[C;D3:9](-[O;D2:8]-[C:5](-[C:4])(-[C:6])-[C:7])=[O;D1:10]	20	20	394,608,720,763,936,1595,1635,1689,1711,3056,4209,4645,4786,6398,6758,7012,7263,7759,7932,9092	c1ccc(COc2ccc3c(c2)CCN(C2CCC2)CC3)cc1,CC[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(Br)cn(C)c2=O)nc1,O=C1CO[C@H]2CCCC[C@@H]2N1C1CCN(C2CCC(COCC(F)F)CC2)CC1,O=C(OCc1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCC4)CC3)cc2)C(=O)C1,O=c1nc(N2CCN(C3CCOCC3)CC2)ncn1Cc1ccc(Cl)cc1,CCOC(=O)c1cnn(-c2ccc(OC3CCN(C4CCC4)CC3)cc2)c1,O=C(COc1cccnc1)N1CCc2cc(NS(=O)(=O)C3CCN(C4COC4)CC3)ccc2C1,O=C(C1CCN(C2CN(C(c3ccccc3)c3ccccc3)C2)CC1)N1CCC1,Nc1ncc(-c2cc(C3CCN(C4COC4)CC3)nc(C3CC3)n2)cc1OC(F)F,O=C1CCC(c2cc(F)c(OC3CCN(C4CCC4)CC3)c(F)c2)=NN1,C[C@H]1CN(C2CCN(C)CC2)CCN1Cc1ccccc1,CS(=O)(=O)c1ccc(-n2cc3c(n2)CCN(C2CCC2)CC3)cc1,CNC(=O)c1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)c(OC)c1,Cc1nc2ccccc2c(=O)n1-c1ccc(OC2CCN(C3CCC3)CC2)cc1,O=C1Nc2ccccc2C2(CCN(C3CCCCCC3)CC2)O1,c1ccc(COc2ccc3c(c2)CCN(C2CCCCC2)CC3)cc1,C[C@@H](Oc1nc(-c2ccc(N3CCN(C4COC4)CC3)nc2)cc2ncn(C)c12)[C@H]1CNC(=O)C1
[C;D3:1]-[C;D2:2]=[O;D1:3]>>[C;D3:1]-[C;D2:2]-[O;D1:3]$[C;D3:1]-[C;D2:2]-[O;D1:3]>>[C;D3:1]-[C;D3:2](=[O;D1:3])-[O;D2:5]-[C;D1:4]	20	20	372,386,961,1043,1287,1777,1815,2678,2750,2935,3013,3224,3686,4727,5386,5516,5888,6408,6968,8000	Cc1nn(-c2c(F)cccc2C=O)cc1CN1CCC2(CC1)OCC(F)(F)c1cc(Cl)sc12,Cc1nc2cc(C=O)ccc2s1,CCCCC1(OC)CCN(c2ccc(-c3nnc(-c4ccc(C=O)cc4)s3)cc2)CC1,Cc1cccc(Nc2ccccc2C=O)c1C,Cc1noc(-c2ccc(Cl)cc2C=O)n1,CC(C)(C)[Si](OCCOC1CCC(C=O)CC1)(c1ccccc1)c1ccccc1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1C=O,Nc1nc2cc(C=O)ccc2c2cccnc12,C=CC[C@H](C)Oc1cc(C)ccc1C=O,CC(C)(C)OC(=O)NCc1ccc(C=O)cc1,Cc1cccc(C=O)c1OCc1ccccc1,CCCS(=O)(=O)Nc1ccc(F)c(C=O)c1,COCOc1ccc(Cc2c(C)cc(C=O)cc2C)cc1C(C)C,C[C@H](c1ccc(C=O)cc1)n1cc(C[C@@H]2C(=O)NC=CN2S(=O)(=O)c2ccc(Cl)c(Cl)c2)nn1,CN(CCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)Cc1ccc(C=O)cc1,CCCCCCc1cc(C=O)ccc1OC,Cc1csc(-c2cc(C=O)ccn2)n1,CC(C)(C)[Si](C)(C)Oc1ccc(C=O)cc1C1CCCC1,Cc1nc2ccc(C=O)cc2o1,C=CCC(C=O)C1c2ccccc2COc2ccccc21
[C;D3:1]-[N;D2:2]-[C;D3:3](=[O;D1:4])-[N;D2:5]-[C;D3:6]>>[C;D2:3](=[O;D1:4])=[N;D2:5]-[C;D3:6].[C;D3:1]-[N;D1:2]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	20	20	756,1163,1241,1434,2315,2326,2524,2960,3992,5680,6403,7032,7410,7735,8287,8386,8584,9419,9666,9962	CCn1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)n1,NC(=O)c1c(-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)nsc1NC(=O)NCCCN1CCOCC1,NC(=O)c1sc2nc(NC3CC3)nc(-c3cccc(NC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c2c1N,CN1CCC(COc2ccc(NC(=O)Nc3ccc(Oc4cc(Cl)ncn4)cc3)cc2C(F)(F)F)CC1,CCCOc1c(NC(=O)Nc2ccc(C3CC3)cc2)cc(Br)cc1C1CC1,COC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(OC)c(F)c2)cc1NC(=O)Nc1c(C)cc(C)cc1C)C1CCCCC1,COC(CCn1cc2ccc(NC(=O)Nc3ccc(Oc4ccccc4)cc3)cc2n1)OC,CN(C)CCN(C)C(=O)c1ccc(NC(=O)Nc2ccc(Br)cc2)cc1,CCOC(=O)c1cc2c(Oc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)ncnc2[nH]1,COC(=O)c1cc(NC(=O)Nc2ccc(OC)c(OC)c2)ccc1OC(c1ccccc1F)c1ccccc1F,CN(C)C(=O)c1ccc(NC(=O)Nc2ccc(Br)cc2)cc1F,COC(=O)Cc1cc2ccc(Cl)cc2c(-c2ccc(NC(=O)Nc3ccccc3)cc2)c1C,CC(=O)c1cc(F)ccc1Oc1nc2ccc(NC(=O)Nc3cccc([N+](=O)[O-])c3)cc2cc1Cc1ccccc1,CN1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(Br)cc3)cc2)CC1,CSc1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ncn1,NC(=O)c1c(-c2cccc(NC(=O)Nc3ccccc3)c2)nsc1N,C=CC(c1ccccc1)c1cc(Br)cc(NC(=O)Nc2ccc(C)cc2)c1OCCC,CCNS(=O)(=O)c1c(Cl)ccc(NC(=O)Nc2ccccc2Cl)c1O,CCC(=O)c1cc(NC(=O)Nc2cccc(OC)c2)ccc1OCc1ccc(C(C)(C)C)cc1,COc1ccc(NC(=O)Nc2cccc([N+](=O)[O-])c2)cc1-c1c(Cl)cnn1C
[C;D3:1]-[N;D2:2]-[S;D4:3](=[O;D1:4])(=[O;D1:5])-[C;D3:6]>>[S;D4:3](=[O;D1:4])(=[O;D1:5])(-[C;D3:6])-[Cl;D1:7].[C;D3:1]-[N;D1:2]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	19	19	215,261,1605,2978,3279,3497,3969,4047,4791,4957,5040,5080,5457,5533,5988,6018,6463,6771,8786	COc1cncnc1N1CCN(CCCc2c[nH]c3ccc(NS(=O)(=O)c4ccc(C)cc4)cc23)CC1,COC(=O)c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F,CCOC(=O)Cn1c(C)c(Cc2ccccc2NS(=O)(=O)c2ccc(C)cc2)c2c1CC(C)(C)CC2=O,CC(C)(C)OC(=O)n1nc(-c2ccccc2)c2cc(NS(=O)(=O)c3cccc(F)c3)ccc21,CCOC(=O)c1cnn(-c2nc3ccc(NS(=O)(=O)c4ccccc4)cc3c(=O)n2COCC[Si](C)(C)C)c1,N#Cc1ccc(CCOc2cccc(NS(=O)(=O)c3ccccc3)c2)cc1,CC(C)(C)OC(=O)NCCOc1ccc(NS(=O)(=O)c2ccccc2)cc1,COc1ccc(NS(=O)(=O)c2cccc(OC(F)F)c2)cc1N1CCN(C(=O)OC(C)(C)C)CC1,CCOC(=O)CC(NC(=O)c1ccccc1)c1cccc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)c1,CCOC(=O)c1cnn2c(N)c(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)cnc12,CC(C)Oc1ccc(-c2ccc3oc(-c4cc(NS(=O)(=O)c5cc(Cl)ccc5Cl)ccc4Cl)nc3c2)cc1,COc1ccc(Oc2c(Cl)cc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1NS(=O)(=O)c1ccc(F)cc1,COc1ccc(N2C[C@H](C)N[C@H](C)C2)cc1NS(=O)(=O)c1ccc(Br)cc1Cl,COC(=O)c1cc(Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)c(C)c2)ccc1NS(=O)(=O)c1ccc(C)cc1,CC(C)n1cc(-c2ccc(NS(=O)(=O)c3ccccc3)cc2)c2c(Cl)ncnc21,COc1cc2c(cc1NS(=O)(=O)c1ccc(I)cc1)CCN(C(=O)OC(C)(C)C)CC2,CN1CCN(c2ccc(Br)c(NS(=O)(=O)c3ccc4ccccc4c3)c2)CC1,COC(=O)c1ccc2ncc(Oc3c(Cl)cc(NS(=O)(=O)c4ccc(Cl)cc4Cl)cc3Cl)cc2c1,CC1(C)CC(c2cccc(NS(=O)(=O)c3ccccc3)c2)Nc2ccc(Cl)cc21
[C;D3:1]-[C;D2:2]-[N;D2:3]=[N;D2+:4]>>[C;D3:1]-[C;D2:2]-[O;D2:9]-[S;D4:6](-[C:5])(=[O:7])=[O:8].[N;D1-:3]=[N;D2+:4]$[C;D2:1]-[O;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D2:1]-[O;D1:2]	18	18	226,416,429,671,1032,1061,1172,1705,2441,2494,2551,3305,3487,4914,6759,7542,7858,9630	CC(C)(C)[C@@H](CN=[N+]=[N-])Nc1nc(Cl)ncc1F,CC(C)(C)OC(=O)NCCCC[C@@H](CN=[N+]=[N-])NC(=O)OC(C)(C)C,CCOC(=O)c1cc2cc(CN=[N+]=[N-])ccn2c1-c1ccc(F)cc1,CC[C@H](CN=[N+]=[N-])NC(=O)OC(C)(C)C,Cc1cc2c(c3ccc(=O)[nH]c13)OC(CN=[N+]=[N-])C2,C[C@@H]1CCN(CCc2ccc(F)cc2)C[C@H]1CN=[N+]=[N-],CCN1CCN(c2ccc(N3C[C@H](CN=[N+]=[N-])OC3=O)cc2F)CC1=O,CC(C)(C)OC(=O)N1CCOC(CN=[N+]=[N-])C1,CC(C)(C)OC(=O)NCC[C@@H](CN=[N+]=[N-])NC(=O)OC(C)(C)C,CN1CCN(c2ccc(N3C[C@H](CN=[N+]=[N-])OC3=O)cc2F)CC1=O,CC(C)(C)OC(=O)N1C[C@H](NC(=O)c2ccc(Cl)s2)C[C@H]1CN=[N+]=[N-],CC(C)(C)OC(=O)N[C@@H]1CCN(c2ccc(N3C[C@H](CN=[N+]=[N-])OC3=O)cc2F)C1,CC(C)(C)OC(=O)N1CCOC(c2ccc(Cl)c(Cl)c2)C(CN=[N+]=[N-])C1,CC(C)(C)OC(=O)N[C@H]1CCCC[C@@H]1CN=[N+]=[N-],Cc1cc(CN=[N+]=[N-])cc(Br)n1,Cc1noc2cc(N3C[C@H](CN=[N+]=[N-])OC3=O)ccc12,CC(C)(C)OC(=O)N[C@@H]1C[C@@H](CN=[N+]=[N-])C1,COCCN1CCN(c2ccc(N3C[C@H](CN=[N+]=[N-])OC3=O)cc2F)CC1=O
[C;D3:1]-[N;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D3:1]-[N;D1:2]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	18	18	112,546,1216,1497,1601,2698,2757,3072,4577,6508,6830,7266,7437,7789,8505,8766,8861,8944	COC(=O)c1c(-c2ccc(F)cc2)oc2cc(NS(C)(=O)=O)c(Br)cc12,C[C@H](NC(=O)C(F)(F)F)[C@H](O)c1ccc(OCc2ccccc2)c(NS(C)(=O)=O)c1,CCNC(=O)c1ccc(NS(C)(=O)=O)c(Sc2ccc(F)cc2F)c1,CNC(=O)c1c2cc(C3CC3)c(NS(C)(=O)=O)cc2nn1-c1ccc(Br)cc1,COC(=O)c1c(-c2ccc(F)cc2)oc2cc(NS(C)(=O)=O)c3c(c12)CC(C)O3,CCOC(=O)Nc1cc(NS(C)(=O)=O)ccc1F,CC(C)S(=O)(=O)N[C@@H]1CCC[C@@H]1c1ccc(NS(C)(=O)=O)cc1,COC(=O)c1cc(NS(C)(=O)=O)ccc1Br,Cc1nc(N(C)c2ccc(NS(C)(=O)=O)cc2)c2ccccc2n1,Cc1ccc(S(=O)(=O)Oc2cc(=O)n(C)c3c2c(=O)n(C2CC2)c(=O)n3-c2cccc(NS(C)(=O)=O)c2)cc1,Cc1c(CC#N)ccc(NS(C)(=O)=O)c1F,COC(=O)/C=C/c1ccc(C2CCCN2CCc2c(C(C)(C)C)[nH]c3cc(NS(C)(=O)=O)ccc23)cc1,CCOC(=O)Oc1ccc(OC)c(NS(C)(=O)=O)c1,COC(=S)c1cc(-c2nc(-c3ccc(NS(C)(=O)=O)cc3)cs2)c(C)s1,CN(C)CCOc1ccc(Br)cc1NS(C)(=O)=O,CCOC(=O)Cc1cccc(Oc2ccccc2Cl)c1NS(C)(=O)=O
[C;D3:1]-[O;D2:2]-[C;D2:3]-[C;D2:4]>>[C;D2:3](-[C;D2:4])-[Br;D1:5].[C;D3:1]-[O;D1:2]$[C;D3:1]-[O;D1:2]>>[C;D3:1]-[O;D2:2]-[C;D1:3]	18	18	291,338,666,874,904,1178,1678,1708,1765,2896,3042,3060,3129,4041,4470,5395,5811,9591	CCCCCNc1nc(N)nc(C)c1Cc1ccc(OCCCO)cc1,CC(C)n1nc(-c2c(-c3ccccc3)nn3ccc(OCCN4C(=O)c5ccccc5C4=O)cc23)ccc1=O,CN(C(=O)c1ccc(Cl)c(Br)c1)c1ccccc1OCCCC#N,O=[N+]([O-])c1cc(OCCCCCCCCO)ccc1-c1ccccc1,CCOC(=O)C[C@@H]1CCc2cc(OCCCBr)ccc21,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C[C@@H]1CCCN1CCCCc1ccc(OCCCCl)cc1,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCCl)ccc21,Cc1ccc(C(=O)NC2CC2)cc1-n1cnc2ccc(OCCCl)cc2c1=O,CCCCCCc1cc2c(cc1OCCCC(=O)OCC)C(=O)CC2,O=C(c1ccc(OCCCCBr)cc1)c1c(-c2ccccc2)oc2ccccc12,CC(=O)c1cc(F)c(OCCCCl)c(F)c1,CCOC(=O)Nc1csc2cc(OCCCC(F)(F)F)ccc12,CN1CCc2ccc(OCCCCCl)cc2NC1=O,Cc1ccc(C(=O)O)cc1-n1cnc2ccc(OCCCl)cc2c1=O,CCc1ccc(Cc2cc(Br)c(OCCO)cc2Cl)cc1,CCOC(=O)c1cnn(-c2cccc(-c3cc(F)ccc3CCc3ccc(OCCCBr)cc3C)n2)c1C(F)(F)F,CCOC(=O)CSc1nc2scc(-c3ccccc3OCCCCl)c2c(=O)n1-c1cccc(F)c1
