Composite_rule	popularity	route_ids_size	Reference	Target_molecules
[C;D2:1]-[N;D1:2]>>[C;D2:1]-[N;D2:2]=[N;D2+:4]=[N;D1-:3]$[C;D2:1]-[C;D2:2]-[N;D2:3]=[N;D2+:4]>>[C;D2:1]-[C;D2:2]-[O;D2:9]-[S;D4:6](-[C:5])(=[O:7])=[O:8].[N;D1-:3]=[N;D2+:4]$[C;D2:1]-[O;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D2:1]-[O;D1:2]	9	9	65,201,419,1070,4910,5354,5885,6870,8974	CC(C)(C)OC(=O)NCCOCCN,CCOC(=O)C(C)(CCCc1ccccc1)Cc1ccc(OCCN)cc1,CCOC(=O)C(Cc1ccc(OCCN)cc1)Oc1ccccc1,CC(C)(C)OC(=O)n1nc(CCCN)c2c(Nc3c(-c4ncccn4)oc4cnccc34)ccc(Cl)c21,CC(C)(C)OC(=O)COCCOCCOCCOCCN,CCOC(=O)CSC(CCCCN)CCCc1cccnc1,CC(C)(C)OC(=O)N1CCc2c(n(CCN)c3ccccc23)CC1,COc1ccc(COCCOCCOCCN)cc1,CCOC(=O)C(C)(Cc1ccc(OCCN)cc1)Oc1ccc(C(C)C)cc1
[C;D2:1]-[N;D1:2]>>[C;D2:1]-[N;D2:2]=[N;D2+:4]=[N;D1-:3]$[C;D3:1]-[C;D2:2]-[N;D2:3]=[N;D2+:4]>>[C;D3:1]-[C;D2:2]-[O;D2:9]-[S;D4:6](-[C:5])(=[O:7])=[O:8].[N;D1-:3]=[N;D2+:4]$[C;D2:1]-[O;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D2:1]-[O;D1:2]	8	8	416,671,1032,1061,2441,2551,3487,7858	CC(C)(C)OC(=O)NCCCC[C@@H](CN)NC(=O)OC(C)(C)C,CC[C@H](CN)NC(=O)OC(C)(C)C,Cc1cc2c(c3ccc(=O)[nH]c13)OC(CN)C2,C[C@@H]1CCN(CCc2ccc(F)cc2)C[C@H]1CN,CC(C)(C)OC(=O)NCC[C@@H](CN)NC(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1C[C@H](NC(=O)c2ccc(Cl)s2)C[C@H]1CN,CC(C)(C)OC(=O)N1CCOC(c2ccc(Cl)c(Cl)c2)C(CN)C1,CC(C)(C)OC(=O)N[C@@H]1C[C@@H](CN)C1
[C;D2:1]-[O;D2:2]-[C;D3:3](=[O;D1:4])-[C;D4:5]>>[C;D3:3](=[O;D1:4])(-[C;D4:5])-[O;D1:6].[C;D2:1]-[O;D1:2]$[O;D1:1]=[C;D3:2](-[O;D1:3])-[C;D4:4]>>[C;D2:2](-[C;D4:4])#[N;D1:5].[O;D1:1]-[C;D2:8]-[C;D2:7]-[O:6].[O;D0:3]$[N:1]#[C;D2:2]-[C;D4:3]-1(-[C;D3:4])-[C;D2:5]-[C;D2:6]-1>>[C;D2:5](-[C;D2:6]-[Br;D1:8])-[Br;D1:7].[N:1]#[C;D2:2]-[C;D2:3]-[C;D3:4]	6	6	9,1633,2780,3484,5416,9787	CCOC(=O)C1(c2ccc(Br)cc2)CC1
[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D2:6]-[C;D1:5]$[O:1]-[C:2](=[O:3])-[C;D3:4](=[N:5])-[C;D3:6]:1:[C;D2:7]:[S;D2:8]:[C;D3:9](-[N;D1:10]):[N;D2:11]:1>>[O:1]-[C:2](=[O:3])-[C;D3:4](=[N:5])-[C;D3:6](-[C;D2:7]-[Cl;D1:13])=[O;D1:12].[S;D1:8]=[C;D3:9](-[N;D1:10])-[N;D1:11]$[C:1]-[C;D3:2](=[O:3])-[C;D2:4]-[Cl;D1:5]>>[Cl;D1:5]-[S;D4:7](=[O;D1:6])(=[O;D1:8])-[Cl;D1:9].[C:1]-[C;D3:2](=[O:3])-[C;D1:4]	5	5	5,274,1110,1338,7231	CC(C)CON=C(C(=O)O)c1csc(N)n1,Nc1nc(C(=NOC2CCCCC2)C(=O)O)cs1,CON=C(C(=O)O)c1csc(N)n1,Nc1nc(/C(=N/OC2CCCCC2)C(=O)O)cs1
[C;D2:1]-[N;D3:2](-[C;D3:3](-[C;D2:4])-[C;D2:5])-[C;D2:6]>>[C;D3:3](-[C;D2:4])(-[C;D2:5])=[O;D1:7].[C;D2:1]-[N;D2:2]-[C;D2:6]$[C;D2:1]-[N;D2:2]-[C;D2:3]>>[C;D2:1]-[N;D3:2](-[C;D2:3])-[C;D3:9](-[O;D2:8]-[C:5](-[C:4])(-[C:6])-[C:7])=[O;D1:10]$[C;D3:1]-[O;D2:2]-[C;D2:3]-[C;D3:4]>>[C;D2:3](-[C;D3:4])-[Br;D1:5].[C;D3:1]-[O;D1:2]	5	5	394,1689,4209,4786,7932	c1ccc(COc2ccc3c(c2)CCN(C2CCC2)CC3)cc1,c1ccc(COc2ccc3c(c2)CCN(C2CCCCC2)CC3)cc1
[C;D3:1]-[C;D2:2]=[C;D2:3]-[C;D3:4]>>[C;D3:1]-[C;D2:2]=[O;D1:5].[C;D2:3](-[C;D3:4])-[P;D4+:10](-[C;D3:9]:1:[C:8]:[C:7]:[C:6]:[C:24]:[C:23]:1)(-[C;D3:11]:2:[C:12]:[C:13]:[C:14]:[C:15]:[C:16]:2)-[C;D3:17]:3:[C:18]:[C:19]:[C:20]:[C:21]:[C:22]:3$[C;D3:1]-[C;D2:2]=[O;D1:3]>>[C;D3:1]-[C;D2:2]-[O;D1:3]$[C;D3:1]-[C;D2:2]-[O;D1:3]>>[C;D3:1]-[C;D3:2](-[O;D1:3])=[O;D1:4]	5	5	475,1990,4180,6322,6974	CCOC(=O)CCCCC(/C=C/c1ccccc1O)CCc1ccc(C#N)cc1,CCOC(=O)CC1(CCC(/C=C/c2ccccc2O)Cc2ccc(C(=O)OC)cc2)CC1,COC(=O)c1ccc(CC(/C=C/c2ccccc2O)CCCCC#N)cc1,CCCCCC1CCC(C=Cc2ccc3cc(OCc4ccccc4)ccc3c2)CC1
[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D2:6]-[C;D1:5]$[N:1]=[C;D3:2](-[C:3](=[O:4])-[O:5])-[C;D3:6]:1:[C;D2:7]:[S;D2:8]:[C;D3:9](-[N;D1:10]):[N;D2:11]:1>>[N:1]=[C;D3:2](-[C:3](=[O:4])-[O:5])-[C;D3:6](-[C;D2:7]-[Cl;D1:13])=[O;D1:12].[S;D1:8]=[C;D3:9](-[N;D1:10])-[N;D1:11]$[C:1]-[C;D3:2](=[O:3])-[C;D2:4]-[Cl;D1:5]>>[Cl;D1:5]-[S;D4:7](=[O;D1:6])(=[O;D1:8])-[Cl;D1:9].[C:1]-[C;D3:2](=[O:3])-[C;D1:4]	4	4	1058,1276,2463,3820	CCON=C(C(=O)O)c1csc(N)n1,CCCCCCCCON=C(C(=O)O)c1csc(N)n1,CCCCON=C(C(=O)O)c1csc(N)n1
[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D2:6]-[C;D1:5]$[O:1]-[C;D3:2](=[O:3])-[C;D2:4]-[C;D3:5]-1-[C;D2:6]-[N;D2:7]=[C;D3:8](-[C;D3:9](:[C:10]):[N:11])-[S;D2:12]-1>>[O:1]-[C;D3:2](=[O:3])-[C;D2:4]#[C;D2:5]-[C;D1:6].[N;D1:7]-[C;D3:8](-[C;D3:9](:[C:10]):[N:11])=[S;D1:12]$[N:1]:[C;D3:2](-[C;D3:3](-[N;D1:4])=[S;D1:5]):[C:6]>>[S;D1:5]=[P;D4:16]-1(-[S;D2:15]-[P:13](-[C:12]:2:[C:11]:[C:10]:[C:9](-[O:8]-[C:7]):[C:27]:[C:26]:2)(=[S:14])-[S;D2:25]-1)-[C;D3:17]:3:[C:18]:[C:19]:[C:20](-[O:21]-[C:22]):[C:23]:[C:24]:3.[N:1]:[C;D3:2](-[C;D3:3](-[N;D1:4])=[O;D1:28]):[C:6]	4	4	30,148,2742,6563	COc1cc(Oc2ccc(S(C)(=O)=O)nc2)cc2cc(C3=NCC(CC(=O)O)S3)[nH]c12,CN(c1cccc2cc(C3=NCC(CC(=O)O)S3)[nH]c12)S(=O)(=O)c1cccs1,Cc1cc(Oc2ccc(S(C)(=O)=O)nc2)cc2cc(C3=NCC(CC(=O)O)S3)[nH]c12
[C:1]:1:[C:2]:[C:3]:[N;D3:6](:[C:5]:[C:4]):[C;D3:7](-[C;D3:8]:2:[C;D2:9]:[N:10]:[N:11]:[C;D2:12]:2):[N;D2:13]:1>>[C;D3:8]:1(:[C;D2:9]:[N:10]:[N:11]:[C;D2:12]:1)-[B;D3:18]-2-[O;D2:17]-[C:15](-[C:14])(-[C:16])-[C:20](-[O;D2:19]-2)(-[C:21])-[C:22].[C:1]:1:[C:2]:[C:3]:[N;D3:6](:[C:5]:[C:4]):[C;D3:7](:[N;D2:13]:1)-[Cl;D1:23]$[C:1]:1:[C:2]:[C:3]:[N;D3:6](:[C:5]:[C:4]):[C;D3:7](-[Cl;D1:8]):[N;D2:9]:1>>[Cl;D1:8]-[P;D4:11](=[O;D1:10])(-[Cl;D1:12])-[Cl;D1:13].[C:1]:1:[C:2]:[C:3]:[N;D3:6](:[C:5]:[C:4]):[C;D3:7](:[N;D2:9]:1)=[O;D1:14]$[N:1]:1:[C;D2:2]:[C;D3:3](-[C;D3:4]:2:[C;D2:5]:[C:6](:[N:7]):[N:8]:[C:9]:[N;D2:10]:2):[C;D2:11]:[N:12]:1>>[N:1]:1:[C;D2:2]:[C;D3:3](:[C;D2:11]:[N:12]:1)-[B;D3:17]-2-[O;D2:16]-[C:14](-[C:13])(-[C:15])-[C:19](-[O;D2:18]-2)(-[C:20])-[C:21].[C;D3:4]:1(:[C;D2:5]:[C:6](:[N:7]):[N:8]:[C:9]:[N;D2:10]:1)-[Cl;D1:22]	4	4	1397,2651,6549,7154	Cn1cc(-c2cc3nccn3c(-c3cn[nH]c3)n2)cn1,Cn1cc(-c2cc3nccn3c(-c3cnn(C4(CCF)CN(C(=O)OC(C)(C)C)C4)c3)n2)cn1
[C:1]:1:[C:2]:[N;D2:3]:[C;D3:4](-[N;D1:5]):[C;D3:6]:[C:7]:1:[S:8]>>[C:1]:1:[C:2]:[N;D2:3]:[C;D3:4](:[C;D3:6]:[C:7]:1:[S:8])-[Cl;D1:9].[N;D0:5]$[S:1]:[C:2]:[C;D3:3]-[C;D2:4]-[O;D2:5]-[C;D3:6]>>[S:1]:[C:2]:[C;D3:3]-[C;D2:4]-[Br;D1:7].[O;D1:5]-[C;D3:6]$[S:1]:[C:2]:[C;D3:3]-[C;D2:4]-[Br;D1:5]>>[Br;D1:5]-[N;D3:12]-1-[C;D3:7](=[O:6])-[C:8]-[C:9]-[C;D3:10]-1=[O:11].[S:1]:[C:2]:[C;D3:3]-[C;D1:4]	4	4	244,581,1557,4733	CCOC(=O)c1cnc(N)c2c(COc3cc(NC(=O)c4ccc(NCCO)c(Cl)c4)ccc3C)csc12,CCOC(=O)c1cnc(N)c2c(COc3ccc(Br)cc3)csc12,CCOC(=O)c1cnc(N)c2c(COc3cccc(OCc4ccc(Cl)cc4)c3)csc12,CCOC(=O)c1cnc(N)c2c(COc3cc(NC(=O)c4ccccc4)ccc3C)csc12
