Composite_rule	popularity	route_ids_size	Reference	Target_molecules
[C;D2:1]-[N;D3:2](-[C;D3:3]:1:[C;D3:4]:[C:5]:[N:6]:[C:7]:[C;D3:8]:1)-[C;D2:9]>>[C;D3:3]:1(:[C;D3:4]:[C:5]:[N:6]:[C:7]:[C;D3:8]:1)-[Cl;D1:10].[C;D2:1]-[N;D2:2]-[C;D2:9]$[C;D3:1]:1:[C:2]:[N:3]:[C:4]:[C;D3:5]:[C;D3:6]:1-[Cl;D1:7]>>[Cl;D1:7]-[P;D4:9](=[O;D1:8])(-[Cl;D1:10])-[Cl;D1:11].[C;D3:1]:1:[C:2]:[N:3]:[C:4]:[C;D3:5]:[C;D3:6]:1-[O;D1:12]$[C;D3:1]-[O;D1:2]>>[C;D3:1]-[O;D2:2]-[C;D1:3]$[C;D3:1]:[C;D3:4](:[C;D2:3]:[N:2])-[N;D3+:5](=[O;D1:6])-[O;D1-:7]>>[N;D3+:5](-[O;D1:6])(-[O;D1-:7])=[O;D1:8].[C;D3:1]:[C;D2:4]:[C;D2:3]:[N:2]$[C;D1:1]-[O;D2:2]-[C;D3:3]:1:[C;D3:4]:[C:5]:[N:6]:[C:7]:[C;D2:8]:1>>[C;D3:3]:1(:[C;D3:4]:[C:5]:[N:6]:[C:7]:[C;D2:8]:1)-[Cl;D1:9].[C;D1:1]-[O;D1:2]	3	3	163,560,5563	CC1(NC(=O)OC(C)(C)C)CCCN(c2c([N+](=O)[O-])cnc3c2CCC3)C1,CC(C)(C)OC(=O)N[C@H]1CCCN(c2c([N+](=O)[O-])cnc3c2CCC3)C1,CC(C)(C)OC(=O)N[C@@H]1CN(c2c([N+](=O)[O-])cnc3c2CCC3)C[C@H](C2CC2)[C@H]1O
[C;D3:1]-[C;D2:2]-[N;D2:3]=[N;D2+:4]>>[C;D3:1]-[C;D2:2]-[O;D2:9]-[S;D4:6](-[C:5])(=[O:7])=[O:8].[N;D1-:3]=[N;D2+:4]$[C;D2:1]-[O;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D2:1]-[O;D1:2]$[C;D3:1]-[N;D3:2]-1-[C;D2:3]-[C;D3:4](-[C;D2:5]-[O;D1:6])-[O;D2:7]-[C;D3:8]-1=[O;D1:9]>>[C;D2:3]-1-[C;D3:4](-[C;D2:5]-[O;D2:6]-[C;D3:13](-[C;D2:12]-[C:11]-[C:10])=[O;D1:14])-[O;D2:7]-1.[C;D3:1]-[N;D2:2]-[C;D3:8](=[O;D1:9])-[O;D2:20]-[C;D2:19]-[C:18]:1:[C:17]:[C:16]:[C:15]:[C:22]:[C:21]:1$[C;D3:1]-[N;D2:2]-[C;D3:3](=[O;D1:4])-[O;D2:5]>>[C;D3:3](=[O;D1:4])(-[O;D2:5])-[Cl;D1:6].[C;D3:1]-[N;D1:2]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	3	3	1172,2494,9630	CCN1CCN(c2ccc(N3C[C@H](CN=[N+]=[N-])OC3=O)cc2F)CC1=O,CN1CCN(c2ccc(N3C[C@H](CN=[N+]=[N-])OC3=O)cc2F)CC1=O,COCCN1CCN(c2ccc(N3C[C@H](CN=[N+]=[N-])OC3=O)cc2F)CC1=O
[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D2:6]-[C;D1:5]$[O:1]-[C;D3:2](=[O:3])-[C;D2:4]-[C;D3:5]-1-[C;D2:6]-[N;D2:7]=[C;D3:8](-[C;D3:9](:[C:10]):[N:11])-[S;D2:12]-1>>[O:1]-[C;D3:2](=[O:3])-[C;D2:4]#[C;D2:5]-[C;D1:6].[N;D1:7]-[C;D3:8](-[C;D3:9](:[C:10]):[N:11])=[S;D1:12]$[N:1]:[C;D3:2](-[C;D3:3](-[N;D1:4])=[S;D1:5]):[C:6]>>[S;D1:5]=[P;D4:16]-1(-[S;D2:15]-[P:13](-[C:12]:2:[C:11]:[C:10]:[C:9](-[O:8]-[C:7]):[C:27]:[C:26]:2)(=[S:14])-[S;D2:25]-1)-[C;D3:17]:3:[C:18]:[C:19]:[C:20](-[O:21]-[C:22]):[C:23]:[C:24]:3.[N:1]:[C;D3:2](-[C;D3:3](-[N;D1:4])=[O;D1:28]):[C:6]$[N:1]:[C;D3:2](-[C;D3:3](-[N;D1:4])=[O;D1:5]):[C:6]>>[N:1]:[C;D3:2](-[C;D3:3](-[O;D1:5])=[O;D1:7]):[C:6].[N;D0:4]$[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D2:6]-[C;D1:5]	2	2	148,2742	CN(c1cccc2cc(C3=NCC(CC(=O)O)S3)[nH]c12)S(=O)(=O)c1cccs1
[C:1]:1:[N:2]:[C:3]:[C;D3:4]:[C;D3:5](-[N;D2:6]-[C;D2:7]):[C;D3:8]:1>>[C:1]:1:[N:2]:[C:3]:[C;D3:4]:[C;D3:5](:[C;D3:8]:1)-[Cl;D1:9].[N;D1:6]-[C;D2:7]$[C:1]:1:[N:2]:[C:3]:[C;D3:4]:[C;D3:5](-[Cl;D1:6]):[C;D3:7]:1>>[Cl;D1:6]-[P;D4:9](=[O;D1:8])(-[Cl;D1:10])-[Cl;D1:11].[C:1]:1:[N:2]:[C:3]:[C;D3:4]:[C;D3:5](:[C;D3:7]:1)-[O;D1:12]$[C:1]:[C:2]:1:[N;D2:3]:[C;D3:4](-[N;D1:5]):[C;D3:6](-[C;D2:7]#[N:8]):[C;D3:9](-[O;D1:10]):[C;D3:11]:1>>[C:1]:[C:2]:1:[N;D2:3]:[C;D3:4](=[O;D1:12]):[O;D2:13]:[C;D3:9](=[O;D1:10]):[C;D3:11]:1.[N;D1:5]#[C;D2:16]-[C;D2:15]-[C;D3:6](-[C;D2:7]#[N:8])-[O;D1:14]$[C;D2:1]:[C;D3:2]:1:[N;D2:3]:[C;D3:4](=[O;D1:5]):[O;D2:6]:[C;D3:7](=[O;D1:8]):[C;D3:9]:1:[C;D2:10]>>[C;D3:4](=[O;D1:5])(-[O;D2:15]-[C;D4:12](-[Cl:11])(-[Cl:13])-[Cl:14])-[Cl;D1:16].[C;D2:1]:[C;D3:2](-[N;D1:3]):[C;D3:9](-[C;D3:7](-[O;D1:6])=[O;D1:8]):[C;D2:10]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	2	2	185,719	CN(C)c1ccc2nc(N)c(C#N)c(NCc3cccs3)c2c1,CN1CCN(c2ccc3nc(N)c(C#N)c(NCc4ccccc4)c3c2)CC1
[C;D2:1]-[C;D2:2]-[O;D1:3]>>[C;D2:1]-[C;D3:2](-[O;D1:3])=[O;D1:4]$[C;D2:1]-[C;D3:2](=[O;D1:3])-[O;D1:4]>>[O;D1:4]-[C;D2:6]-[C;D1:5].[C;D2:1]-[C;D2:2]#[N;D1:7].[O;D0:3]$[N:1]:[C;D3:3](:[C:2])-[C;D2:4]-[C;D2:5]#[N;D1:6]>>[C;D2:5](#[N;D1:6])-[C;D1:7].[N:1]:[C;D3:3](:[C:2])-[C;D2:4]-[Cl;D1:8]$[N:1]:[C;D3:3](:[C:2])-[C;D2:4]-[Cl;D1:5]>>[Cl;D1:5]-[S;D3:7](=[O;D1:6])-[Cl;D1:8].[N:1]:[C;D3:3](:[C:2])-[C;D2:4]-[O;D1:9]$[N:1]:[C;D3:3](:[C:2])-[C;D2:4]-[O;D1:5]>>[N:1]:[C;D3:3](:[C:2])-[C;D3:4](=[O;D1:5])-[O;D2:8]-[C;D2:7]-[C:6]	2	2	26,1374	Cn1nc(-c2ccc(OC(F)(F)F)cc2)cc1CCO
[C;D2:1]:[C;D3:2](-[C;D3:3](:[C;D2:4]):[C;D2:5]):[C;D3:6]:[N:7]>>[C;D2:1]:[C;D3:2](:[C;D3:6]:[N:7])-[Br;D1:8].[C;D3:3](:[C;D2:4])(:[C;D2:5])-[Sn;D4:13](-[C;D2:12]-[C:11]-[C:10]-[C:9])(-[C;D2:14]-[C:15]-[C:16]-[C:17])-[C;D2:18]-[C:19]-[C:20]-[C:21]$[O;D2:1]-[C;D3:2](=[O;D1:3])-[C;D3:4]:1:[N;D2:5]:[C;D2:6]:[C;D3:7]:2:[C;D3:8](:[C;D3:9]:1-[O;D1:10]):[C;D2:11]:[C:12]:[C:13]:[N;D3:14]:2>>[O;D2:1]-[C;D3:2](=[O;D1:3])-[C;D3:8]:1:[C;D3:7](-[C;D2:6]-[N;D3:5](-[C;D2:19]-[C;D3:17](-[O:16]-[C:15])=[O:18])-[S;D4:20](-[C;D3:4]:2:[C;D2:9]:[C;D2:27]:[C;D3:25](:[C;D2:24]:[C;D2:23]:2)-[C:26])(=[O;D1:21])=[O;D1:22]):[N;D3:14]:[C:13]:[C:12]:[C;D2:11]:1.[O;D1:10]-[C;D1:28]$[O:1]-[C:2](=[O:3])-[C;D2:4]-[N;D3:5](-[C;D2:6]-[C;D3:7](:[C:8]):[N:9])-[S;D4:10]>>[C;D2:6](-[C;D3:7](:[C:8]):[N:9])-[Br;D1:11].[O:1]-[C:2](=[O:3])-[C;D2:4]-[N;D2:5]-[S;D4:10]$[C:1]:[C;D3:2](-[C;D2:3]-[Br;D1:4]):[N:5]>>[Br;D1:4]-[N;D3:12]-1-[C;D3:7](=[O:6])-[C:8]-[C:9]-[C;D3:10]-1=[O:11].[C:1]:[C;D3:2](-[C;D1:3]):[N:5]$[O:1]-[C;D3:2](=[O:3])-[C;D3:4]:1:[C;D3:5](-[C;D1:6]):[N;D3:7](-[C;D2:8]):[C;D3:9](=[O;D1:10]):[C;D3:11](-[Br;D1:12]):[C;D2:13]:1>>[O:1]-[C;D3:2](=[O:3])-[C;D3:4](=[C;D3:5](-[C;D1:6])-[N;D2:7]-[C;D2:8])-[C;D2:13]=[C;D2:11]-[C;D3:9](=[O;D1:10])-[O;D2:15]-[C;D1:14].[Br;D1:12]-[N;D3:22]-1-[C;D3:17](=[O:16])-[C:18]-[C:19]-[C;D3:20]-1=[O:21]	2	2	4,843	COC(=O)c1ncc2c(cc(-c3ccccc3)c(=O)n2CC2CCCCC2)c1O,COC(=O)c1ncc2c(cc(-c3ccccc3)c(=O)n2Cc2nccs2)c1O
[C;D3:1]-[C;D2:2]-[N;D1:3]>>[C;D3:1]-[C;D2:2]=[N;D2:3]-[O;D1:4]$[C;D3:1]-[C;D2:2]=[N;D2:3]-[O;D1:4]>>[C;D3:1]-[C;D2:2]=[O;D1:5].[N;D1:3]-[O;D1:4]$[C;D3:1]-[C;D2:2]=[O;D1:3]>>[O;D2:3](-[O;D2:6]-[C;D3:5](=[O:4])-[C:15]:1:[C:16]:[C:17]:[C:18]:[C:19]:[C:20]:1)-[C;D3:7](=[O;D1:8])-[C;D3:9]:2:[C:10]:[C:11]:[C:12]:[C:13]:[C:14]:2.[C;D3:1]-[C;D1:2]$[C;D3:1]-[C;D4:2](-[C;D1:3])(-[C;D1:4])-[O;D2:5]-[B;D3:6]-[O;D1:7]>>[C;D3:1]-[C;D4:2](-[C;D1:3])(-[C;D1:4])-[O;D2:12]-[C;D2:11]-[O:10]-[C:9]-[C:8].[O;D2:5]-1-[B;D3:6]-[O;D2:7]-[C;D4:16](-[C;D4:13]-1(-[C;D1:14])-[C;D1:15])(-[C;D1:17])-[C;D1:18]$[C;D3:1]:[C;D3:2](-[B;D3:3](-[O;D2:4])-[O;D2:5]):[C;D2:6]>>[C;D3:1]:[C;D3:2](:[C;D2:6])-[Br;D1:7].[B;D3:3](-[O;D2:4])(-[O;D2:5])-[B;D3:12]-1-[O;D2:11]-[C:9](-[C:8])(-[C:10])-[C:14](-[O;D2:13]-1)(-[C:15])-[C:16]	2	2	388,9099	CC1(C)OB(O)c2cc(CN)ccc21
[C;D3:1]-[N;D2:2]-[C;D3:3](=[S;D1:4])-[N;D2:5]-[C;D2:6]>>[C;D3:1]-[N;D2:2]=[C;D2:3]=[S;D1:4].[N;D1:5]-[C;D2:6]$[C;D3:1]-[N;D2:2]=[C;D2:3]=[S;D1:4]>>[C;D3:1]-[N;D1:2].[C;D3:3](=[S;D1:4])(-[O;D2:9]-[C;D3:8]:1:[C:7]:[C:6]:[C:5]:[C:18]:[N:17]:1)-[O;D2:10]-[C;D3:11]:2:[C:12]:[C:13]:[C:14]:[C:15]:[N:16]:2$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D2:2]-[C;D3:4](=[O;D1:3])-[C;D4:5](-[F:6])(-[F:7])-[F:8]$[C;D3:1]:[C;D3:4]:1:[C;D3:3](:[C;D2:2]):[O;D2:7]:[C;D2:6]:[N;D2:5]:1>>[C;D3:6](-[O;D2:10]-[C;D2:9]-[C:8])(-[O;D2:11]-[C;D2:12]-[C:13])-[O;D2:14]-[C;D2:15]-[C:16].[C;D3:1]:[C;D3:4](:[C;D3:3](:[C;D2:2])-[O;D1:7])-[N;D1:5]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	2	2	171,525	CCc1c(NC(=S)NCCN)ccc2ocnc12,Cc1c(NC(=S)NCCN)ccc2ocnc12
[N:1]:[C:2](:[C;D3:3]-[O;D2:4]-[C;D2:5]-[C;D3:6]):[N:7]>>[C;D2:5](-[C;D3:6])-[Br;D1:8].[N:1]:[C:2](:[C;D3:3]-[O;D1:4]):[N:7]$[N:1]:[C:2](:[C;D3:3]-[O;D1:4]):[N:5]>>[N:1]:[C:2](:[C;D3:3]-[O;D2:4]-[C;D2:10]-[C;D3:9]:1:[C:8]:[C:7]:[C:6]:[C:12]:[C:11]:1):[N:5]$[C;D2:1]:[C;D3:2](-[C;D1:3]):[C;D2:4]:[N:5]>>[C;D2:1]:[C;D3:2](:[C;D2:4]:[N:5])-[Br;D1:6].[C;D1:3]-[B;D3:13]-1-[O;D2:12]-[B:10](-[O:9]-[B:8](-[C:7])-[O;D2:14]-1)-[C:11]$[O:1]-[C;D3:2](=[O:3])-[C;D3:4]:1:[C;D3:5](-[C;D1:6]):[N;D2:7]:[C;D3:8](:[C;D3:9]):[N;D3:12]:1:[C;D2:11]:[C:10]>>[O:1]-[C;D3:2](=[O:3])-[C;D3:4](-[C;D3:5](-[C;D1:6])=[O;D1:13])-[Cl;D1:14].[N;D1:7]-[C;D3:8](:[C;D3:9]):[N;D2:12]:[C;D2:11]:[C:10]$[N:1]:[C;D2:2]:[C;D3:3](-[Br;D1:4]):[C;D2:5]>>[Br;D1:4]-[Br;D1:6].[N:1]:[C;D2:2]:[C;D2:3]:[C;D2:5]	2	2	412,3943	CCOC(=O)c1c(C)nc2c(OCc3c(F)ccc(F)c3F)cc(C)cn12,CCOC(=O)c1c(C)nc2c(OCc3c(F)ccc(OC)c3F)cc(C)cn12
[C:1](:[N:2]):[C;D3:4]:1:[C:3]:[N:10]:[N;D2:9]:[C;D3:5]:1-[C;D3:6](:[C;D2:7]):[C;D2:8]>>[C;D3:6](:[C;D2:7])(:[C;D2:8])-[B;D3:15]-1-[O;D2:14]-[C:12](-[C:11])(-[C:13])-[C:17](-[O;D2:16]-1)(-[C:18])-[C:19].[C:1](:[N:2]):[C;D3:4]:1:[C:3]:[N:10]:[N;D2:9]:[C;D3:5]:1-[O;D2:23]-[S;D4:21](=[O:20])(=[O:22])-[C:24](-[F:25])(-[F:26])-[F:27]$[C:1](:[N:2]):[C;D3:4]:1:[C:3]:[N:15]:[N;D2:14]:[C;D3:5]:1-[O;D2:6]-[S;D4:7](=[O;D1:8])(=[O;D1:9])-[C;D4:10](-[F:11])(-[F:12])-[F:13]>>[S;D4:7](=[O;D1:8])(=[O;D1:9])(-[C;D4:10](-[F:11])(-[F:12])-[F:13])-[O;D2:19]-[S;D4:17](=[O:16])(=[O:18])-[C:20](-[F:21])(-[F:22])-[F:23].[C:1](:[N:2]):[C;D3:4]:1:[C:3]:[N:15]:[N;D2:14]:[C;D3:5]:1=[O;D1:6]$[C;D3:1]:1:[N:2]:[C:3]:[C;D2:4]:[C;D3:5]:2:[C;D3:6]:1:[C;D3:7](=[O;D1:8]):[N;D2:9]:[N;D3:10]:2-[C;D3:11]>>[C;D3:1]:1:[N:2]:[C:3]:[C;D2:4]:[C;D3:5](:[C;D3:6]:1-[C;D3:7](=[O;D1:8])-[N;D2:9]-[N;D2:10]-[C;D3:11])-[I;D1:12]$[C:1](:[C;D3:2]-[C;D3:3](=[O;D1:4])-[N;D2:5]-[N;D2:6]):[N:7]>>[C:1](:[C;D3:2]-[C;D3:3](=[O;D1:4])-[O;D1:8]):[N:7].[N;D1:5]-[N;D2:6]$[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D1:5]	1	1	107	COc1nccc2c1c(-c1cccc(CC#N)c1)nn2C1CCCC1
